id;zip_code;city;street_number;street_name;complementary;first_name;last_name
1;47699;Chambéry;Lilangeni c Home;Rosalie Saint-Dominique;experiences bypassing needs-based;Xavière;Giraud
2;89544;Boulogne-Billancourt;Mandatory web-readiness;Morin Royale;Chips purple;Briac;Moulin
3;97105;West Bathildefurt;generate Pompe Chili;Constant Saint-Dominique;bypassing;Gaston;Carre
4;31812;South Oger;grow orchid Leone;Mathieu de l'Odéon;Guilder;Gustave;Dupuy
5;39341;Valérystad;program transmit HTTP;Morin Joubert;alarm Dinar Bacon;Pénélope;Perrin
6;87293;Saint-Pierre;Fresh state Savings;Longin du Faubourg Saint-Honoré;parse Luxembourg;Argine;Fernandez
7;09937;Lacroixstad;calculating calculate multi-tasking;Chevalier Zadkine;disintermediate Architecte Gloves;Cassandre;Fournier
8;89669;Lake Éleuthère;Advanced;Lopez de Nesle;navigating;Marie;Sanchez
9;38621;Lake Constancemouth;COM;Lopez d'Assas;Cambridgeshire;Jason;Laurent
10;39643;Béziers;Gold;Amalthée Saint-Séverin;Computers CSS;Hervé;Roussel
